HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Crystal Palace,1,1,D
Bournemouth,Liverpool,1,2,A
Leicester,West Ham,2,2,D
Stoke,Tottenham,0,4,A
Newcastle,Man City,1,1,D
Liverpool,Everton,4,0,H
Man United,Crystal Palace,2,0,H
West Ham,Watford,3,1,H
Arsenal,West Brom,2,0,H
Aston Villa,Southampton,2,4,A
Bournemouth,Chelsea,1,4,A
Liverpool,Newcastle,2,2,D
Man City,Stoke,4,0,H
Leicester,Swansea,4,0,H
Sunderland,Arsenal,0,0,D
Tottenham,West Brom,1,1,D
Arsenal,Norwich,1,0,H
Everton,Bournemouth,2,1,H
Newcastle,Crystal Palace,1,0,H
Stoke,Sunderland,1,1,D
Watford,Aston Villa,3,2,H
West Brom,West Ham,0,3,A
Man United,Leicester,1,1,D
Southampton,Man City,4,2,H
Swansea,Liverpool,3,1,H
Chelsea,Tottenham,2,2,D
Aston Villa,Newcastle,0,0,D
Bournemouth,West Brom,1,1,D
Crystal Palace,Stoke,2,1,H
Leicester,Everton,3,1,H
Norwich,Man United,0,1,A
Sunderland,Chelsea,3,2,H
West Ham,Swansea,1,4,A
Liverpool,Watford,2,0,H
Man City,Arsenal,2,2,D
Tottenham,Southampton,1,2,A
West Ham,Man United,3,2,H
Liverpool,Chelsea,1,1,D
Norwich,Watford,4,2,H
Sunderland,Everton,3,0,H
Arsenal,Aston Villa,4,0,H
Chelsea,Leicester,1,1,D
Everton,Norwich,3,0,H
Newcastle,Tottenham,5,1,H
Southampton,Crystal Palace,4,1,H
Stoke,West Ham,2,1,H
Swansea,Man City,1,1,D
Watford,Sunderland,2,2,D
West Brom,Liverpool,1,1,D
Man United,Bournemouth,3,1,H
Luton,Middlesbrough,3,3,D
Barnsley,Fulham,1,0,H
Blackburn,Charlton,1,2,A
Brentford,Birmingham,0,1,A
Millwall,Preston,1,0,H
Reading,Sheffield Weds,1,3,A
Stoke,QPR,1,2,A
Swansea,Hull,2,1,H
Wigan,Cardiff,3,2,H
Nott'm Forest,West Brom,1,2,A
Bristol City,Leeds,1,3,A
Huddersfield,Derby,1,2,A
Leeds,Nott'm Forest,1,1,D
Birmingham,Bristol City,1,1,D
Cardiff,Luton,2,1,H
Charlton,Stoke,3,1,H
Derby,Swansea,0,0,D
Fulham,Blackburn,2,0,H
Hull,Reading,2,1,H
Middlesbrough,Brentford,0,1,A
Preston,Wigan,3,0,H
QPR,Huddersfield,1,1,D
Sheffield Weds,Barnsley,2,0,H
West Brom,Millwall,1,1,D
Huddersfield,Fulham,1,2,A
Barnsley,Charlton,2,2,D
Blackburn,Middlesbrough,1,0,H
Brentford,Hull,1,1,D
Bristol City,QPR,2,0,H
Luton,West Brom,1,2,A
Millwall,Sheffield Weds,1,0,H
Nott'm Forest,Birmingham,3,0,H
Stoke,Derby,2,2,D
Swansea,Preston,3,2,H
Wigan,Leeds,0,2,A
Reading,Cardiff,3,0,H
Birmingham,Barnsley,2,0,H
Derby,Bristol City,1,2,A
Hull,Blackburn,0,1,A
Middlesbrough,Wigan,1,0,H
Sheffield Weds,Luton,1,0,H
Cardiff,Huddersfield,2,1,H
Charlton,Nott'm Forest,1,1,D
Fulham,Millwall,4,0,H
Leeds,Brentford,1,0,H
Preston,Stoke,3,1,H
QPR,Swansea,1,3,A
West Brom,Reading,1,1,D
Derby,West Brom,1,1,D
Barnsley,Luton,1,3,A
Blackburn,Cardiff,0,0,D
Charlton,Brentford,1,0,H
Fulham,Nott'm Forest,1,2,A
Huddersfield,Reading,0,2,A
Hull,Bristol City,1,3,A
Middlesbrough,Millwall,1,1,D
Preston,Sheffield Weds,2,1,H
QPR,Wigan,3,1,H
Stoke,Leeds,0,3,A
Swansea,Birmingham,3,0,H
Cardiff,Fulham,1,1,D
Bristol City,Middlesbrough,2,2,D
Birmingham,Stoke,2,1,H
Brentford,Derby,3,0,H
Leeds,Swansea,0,1,A
Luton,Huddersfield,2,1,H
Millwall,Hull,1,1,D
Nott'm Forest,Preston,1,1,D
Reading,Charlton,0,2,A
Sheffield Weds,QPR,1,2,A
West Brom,Blackburn,3,2,H
Wigan,Barnsley,0,0,D
Derby,Cardiff,1,1,D
Fulham,West Brom,1,1,D
Blackburn,Millwall,2,0,H
Charlton,Birmingham,0,1,A
Hull,Wigan,2,2,D
Middlesbrough,Reading,1,0,H
Preston,Brentford,2,0,H
QPR,Luton,3,2,H
Stoke,Bristol City,1,2,A
Swansea,Nott'm Forest,0,1,A
Huddersfield,Sheffield Weds,0,2,A
Barnsley,Leeds,0,2,A
Leeds,Derby,1,1,D
Birmingham,Preston,0,1,A
Brentford,Stoke,0,0,D
Bristol City,Swansea,0,0,D
Cardiff,Middlesbrough,1,0,H
Luton,Hull,0,3,A
Millwall,QPR,1,2,A
Nott'm Forest,Barnsley,1,0,H
Reading,Blackburn,1,2,A
Sheffield Weds,Fulham,1,1,D
Wigan,Charlton,2,0,H
West Brom,Huddersfield,4,2,H
Fulham,Wigan,2,0,H
Stoke,Nott'm Forest,2,3,A
QPR,West Brom,0,2,A
Blackburn,Luton,1,2,A
Charlton,Leeds,1,0,H
Derby,Birmingham,3,2,H
Huddersfield,Millwall,1,1,D
Hull,Cardiff,2,2,D
Middlesbrough,Sheffield Weds,1,4,A
Preston,Bristol City,3,3,D
Swansea,Reading,1,1,D
Barnsley,Brentford,1,3,A
Blackburn,Nott'm Forest,1,1,D
Hull,Sheffield Weds,1,0,H
Leeds,West Brom,1,0,H
Middlesbrough,Preston,1,1,D
Wigan,Birmingham,1,0,H
Reading,Fulham,1,4,A
Stoke,Huddersfield,0,1,A
Barnsley,Derby,2,2,D
Brentford,Bristol City,1,1,D
Cardiff,QPR,3,0,H
Charlton,Swansea,1,2,A
Luton,Millwall,1,1,D
Birmingham,Middlesbrough,2,1,H
Fulham,Charlton,2,2,D
Bristol City,Reading,1,0,H
Derby,Luton,2,0,H
Huddersfield,Hull,3,0,H
Millwall,Leeds,2,1,H
Nott'm Forest,Brentford,1,0,H
Preston,Barnsley,5,1,H
QPR,Blackburn,4,2,H
Sheffield Weds,Wigan,1,0,H
Swansea,Stoke,1,2,A
West Brom,Cardiff,4,2,H
Cardiff,Sheffield Weds,1,1,D
Blackburn,Huddersfield,2,2,D
Barnsley,Swansea,1,1,D
Brentford,Millwall,3,2,H
Charlton,Derby,3,0,H
Hull,QPR,2,3,A
Leeds,Birmingham,1,0,H
Luton,Bristol City,3,0,H
Middlesbrough,West Brom,0,1,A
Reading,Preston,1,0,H
Stoke,Fulham,2,0,H
Wigan,Nott'm Forest,1,0,H
Birmingham,Blackburn,1,0,H
Millwall,Cardiff,2,2,D
Preston,Leeds,1,1,D
QPR,Reading,2,2,D
Sheffield Weds,Stoke,1,0,H
Swansea,Brentford,0,3,A
West Brom,Barnsley,2,2,D
Bristol City,Charlton,2,1,H
Derby,Wigan,1,0,H
Fulham,Luton,3,2,H
Huddersfield,Middlesbrough,0,0,D
Nott'm Forest,Hull,1,2,A
Sheffield Weds,Leeds,0,0,D
Birmingham,Luton,2,1,H
Huddersfield,Barnsley,2,1,H
Hull,Derby,2,0,H
Middlesbrough,Fulham,0,0,D
Millwall,Stoke,2,0,H
Preston,Blackburn,3,2,H
West Brom,Charlton,2,2,D
Swansea,Cardiff,1,0,H
Bristol City,Wigan,2,2,D
QPR,Brentford,1,3,A
Barnsley,Bristol City,2,2,D
Wigan,Swansea,1,2,A
Blackburn,Sheffield Weds,2,1,H
Brentford,Huddersfield,0,1,A
Cardiff,Birmingham,4,2,H
Derby,Middlesbrough,2,0,H
Fulham,Hull,0,3,A
Leeds,QPR,2,0,H
Luton,Nott'm Forest,1,2,A
Reading,Millwall,2,1,H
Charlton,Preston,0,1,A
Stoke,West Brom,0,2,A
Nott'm Forest,Derby,1,0,H
Barnsley,Stoke,2,4,A
Birmingham,Fulham,0,1,A
Hull,West Brom,0,1,A
Leeds,Blackburn,2,1,H
Millwall,Charlton,2,1,H
Preston,Huddersfield,3,1,H
QPR,Middlesbrough,2,2,D
Reading,Luton,3,0,H
Sheffield Weds,Swansea,2,2,D
Wigan,Brentford,0,3,A
Cardiff,Bristol City,0,1,A
Fulham,QPR,2,1,H
Charlton,Cardiff,2,2,D
Blackburn,Barnsley,3,2,H
Brentford,Reading,1,0,H
Bristol City,Nott'm Forest,0,0,D
Derby,Preston,1,0,H
Huddersfield,Birmingham,1,1,D
Luton,Leeds,1,2,A
Stoke,Wigan,2,1,H
Swansea,Millwall,0,1,A
West Brom,Sheffield Weds,2,1,H
Middlesbrough,Hull,2,2,D
Cardiff,Stoke,1,0,H
Fulham,Derby,3,0,H
Huddersfield,Swansea,1,1,D
Luton,Charlton,2,1,H
Millwall,Wigan,2,2,D
Reading,Leeds,0,1,A
Blackburn,Brentford,1,0,H
Hull,Preston,4,0,H
Middlesbrough,Barnsley,1,0,H
QPR,Nott'm Forest,0,4,A
Sheffield Weds,Birmingham,1,1,D
West Brom,Bristol City,4,1,H
Swansea,Fulham,1,2,A
Charlton,Sheffield Weds,1,3,A
Barnsley,Hull,3,1,H
Birmingham,Millwall,1,1,D
Brentford,Luton,7,0,H
Bristol City,Huddersfield,5,2,H
Derby,QPR,1,1,D
Leeds,Middlesbrough,4,0,H
Nott'm Forest,Cardiff,0,1,A
Stoke,Blackburn,1,2,A
Wigan,Reading,1,3,A
Preston,West Brom,0,1,A
Millwall,Nott'm Forest,2,2,D
Huddersfield,Leeds,0,2,A
Blackburn,Derby,1,0,H
Cardiff,Barnsley,3,2,H
Fulham,Bristol City,1,2,A
Hull,Stoke,2,1,H
Luton,Wigan,2,1,H
Middlesbrough,Charlton,1,0,H
QPR,Preston,2,0,H
Reading,Birmingham,2,3,A
Sheffield Weds,Brentford,2,1,H
West Brom,Swansea,5,1,H
Bristol City,Millwall,1,2,A
Charlton,Huddersfield,0,1,A
Leeds,Hull,2,0,H
Nott'm Forest,Middlesbrough,1,1,D
Preston,Fulham,2,1,H
Stoke,Luton,3,0,H
Barnsley,Reading,1,1,D
Birmingham,QPR,0,2,A
Brentford,Cardiff,2,1,H
Derby,Sheffield Weds,1,1,D
Swansea,Blackburn,1,1,D
Wigan,West Brom,1,1,D
Charlton,Hull,2,2,D
Birmingham,West Brom,2,3,A
Barnsley,QPR,5,3,H
Brentford,Fulham,1,0,H
Bristol City,Blackburn,0,2,A
Derby,Millwall,0,1,A
Leeds,Cardiff,3,3,D
Nott'm Forest,Sheffield Weds,0,4,A
Preston,Luton,2,1,H
Stoke,Reading,0,0,D
Swansea,Middlesbrough,3,1,H
Wigan,Huddersfield,1,1,D
Middlesbrough,Stoke,2,1,H
Cardiff,Preston,0,0,D
Fulham,Leeds,2,1,H
Huddersfield,Nott'm Forest,2,1,H
Hull,Birmingham,3,0,H
Luton,Swansea,0,1,A
Millwall,Barnsley,1,2,A
QPR,Charlton,2,2,D
Reading,Derby,3,0,H
West Brom,Brentford,1,1,D
Sheffield Weds,Bristol City,1,0,H
Blackburn,Wigan,0,0,D
Reading,Derby,1,2,A
Birmingham,Norwich,2,2,D
Brentford,Rotherham,5,1,H
Bristol City,Nott'm Forest,1,1,D
Ipswich,Blackburn,2,2,D
Millwall,Middlesbrough,2,2,D
Preston,QPR,1,0,H
Sheffield United,Swansea,1,2,A
West Brom,Bolton,1,2,A
Wigan,Sheffield Weds,3,2,H
Leeds,Stoke,3,1,H
Hull,Aston Villa,1,3,A
Middlesbrough,Sheffield United,3,0,H
Nott'm Forest,West Brom,1,1,D
Aston Villa,Wigan,3,2,H
Blackburn,Millwall,0,0,D
Bolton,Bristol City,2,2,D
Derby,Leeds,1,4,A
Middlesbrough,Birmingham,1,0,H
Norwich,West Brom,3,4,A
Nott'm Forest,Reading,1,0,H
QPR,Sheffield United,1,2,A
Rotherham,Ipswich,1,0,H
Sheffield Weds,Hull,1,1,D
Stoke,Brentford,1,1,D
Swansea,Preston,1,0,H
Birmingham,Swansea,0,0,D
Bristol City,Middlesbrough,0,2,A
Hull,Blackburn,0,1,A
Ipswich,Aston Villa,1,1,D
Leeds,Rotherham,2,0,H
Millwall,Derby,2,1,H
Preston,Stoke,2,2,D
Reading,Bolton,0,1,A
Sheffield United,Norwich,2,1,H
West Brom,QPR,7,1,H
Wigan,Nott'm Forest,2,2,D
Brentford,Sheffield Weds,2,0,H
Derby,Ipswich,2,0,H
QPR,Bristol City,0,3,A
Rotherham,Hull,2,3,A
Swansea,Leeds,2,2,D
Aston Villa,Brentford,2,2,D
Blackburn,Reading,2,2,D
Bolton,Birmingham,1,0,H
Norwich,Preston,2,0,H
Sheffield Weds,Millwall,2,1,H
Stoke,Wigan,0,3,A
Middlesbrough,West Brom,1,0,H
Aston Villa,Reading,1,1,D
Blackburn,Brentford,1,0,H
Bolton,Sheffield United,0,3,A
Derby,Preston,2,0,H
Norwich,Leeds,0,3,A
Nott'm Forest,Birmingham,2,2,D
QPR,Wigan,1,0,H
Sheffield Weds,Ipswich,2,1,H
Stoke,Hull,2,0,H
Swansea,Bristol City,0,1,A
Rotherham,Millwall,1,0,H
Leeds,Middlesbrough,0,0,D
Birmingham,QPR,0,0,D
Brentford,Nott'm Forest,2,1,H
Hull,Derby,1,2,A
Millwall,Swansea,1,2,A
Preston,Bolton,2,2,D
Reading,Sheffield Weds,1,2,A
Sheffield United,Aston Villa,4,1,H
West Brom,Stoke,2,1,H
Wigan,Rotherham,1,0,H
Bristol City,Blackburn,4,1,H
Ipswich,Norwich,1,1,D
Birmingham,West Brom,1,1,D
Blackburn,Aston Villa,1,1,D
Bolton,QPR,1,2,A
Brentford,Wigan,2,0,H
Bristol City,Sheffield United,1,0,H
Hull,Ipswich,2,0,H
Millwall,Leeds,1,1,D
Norwich,Middlesbrough,1,0,H
Preston,Reading,2,3,A
Rotherham,Derby,1,0,H
Sheffield Weds,Stoke,2,2,D
Swansea,Nott'm Forest,0,0,D
Aston Villa,Rotherham,2,0,H
Derby,Blackburn,0,0,D
Ipswich,Brentford,1,1,D
Leeds,Preston,3,0,H
Stoke,Swansea,1,0,H
West Brom,Bristol City,4,2,H
Wigan,Hull,2,1,H
Middlesbrough,Bolton,2,0,H
Nott'm Forest,Sheffield Weds,2,1,H
QPR,Millwall,2,0,H
Reading,Norwich,1,2,A
Sheffield United,Birmingham,0,0,D
Wigan,Bristol City,1,0,H
Aston Villa,Sheffield Weds,1,2,A
Derby,Brentford,3,1,H
Ipswich,Bolton,0,0,D
Leeds,Birmingham,1,2,A
Middlesbrough,Swansea,0,0,D
Nott'm Forest,Rotherham,1,0,H
QPR,Norwich,0,1,A
Reading,Hull,3,0,H
Sheffield United,Preston,3,2,H
Stoke,Blackburn,2,3,A
West Brom,Millwall,2,0,H
Bristol City,Aston Villa,1,1,D
Sheffield Weds,Leeds,1,1,D
Birmingham,Ipswich,2,2,D
Blackburn,Nott'm Forest,2,2,D
Bolton,Derby,1,0,H
Brentford,Reading,2,2,D
Hull,Middlesbrough,1,1,D
Millwall,Sheffield United,2,3,A
Norwich,Wigan,1,0,H
Preston,West Brom,2,3,A
Rotherham,Stoke,2,2,D
Swansea,QPR,3,0,H
Aston Villa,Preston,3,3,D
Brentford,Birmingham,1,1,D
Hull,Leeds,0,1,A
Ipswich,Middlesbrough,0,2,A
Reading,QPR,0,1,A
Stoke,Bolton,2,0,H
Wigan,Swansea,0,0,D
Blackburn,Sheffield United,0,2,A
Derby,Norwich,1,1,D
Nott'm Forest,Millwall,2,2,D
Rotherham,Bristol City,0,0,D
Sheffield Weds,West Brom,2,2,D
Birmingham,Rotherham,3,1,H
Bolton,Blackburn,0,1,A
Leeds,Brentford,1,1,D
Middlesbrough,Nott'm Forest,0,2,A
Millwall,Aston Villa,2,1,H
Norwich,Stoke,0,1,A
Preston,Wigan,4,0,H
QPR,Derby,1,1,D
Sheffield United,Hull,1,0,H
Swansea,Ipswich,2,3,A
West Brom,Reading,4,1,H
Bristol City,Sheffield Weds,1,2,A
Sheffield Weds,Middlesbrough,1,2,A
Aston Villa,Swansea,1,0,H
Blackburn,Leeds,2,1,H
Brentford,Bristol City,0,1,A
Derby,Sheffield United,2,1,H
Hull,Preston,1,1,D
Ipswich,QPR,0,2,A
Nott'm Forest,Norwich,1,2,A
Reading,Millwall,3,1,H
Rotherham,Bolton,1,1,D
Stoke,Birmingham,0,1,A
Wigan,West Brom,1,0,H
Birmingham,Reading,2,1,H
Middlesbrough,Rotherham,0,0,D
Millwall,Wigan,2,1,H
Norwich,Aston Villa,2,1,H
QPR,Sheffield Weds,3,0,H
Sheffield United,Stoke,1,1,D
Swansea,Blackburn,3,1,H
Bolton,Nott'm Forest,0,3,A
Bristol City,Hull,1,0,H
Leeds,Ipswich,2,0,H
Preston,Brentford,4,3,H
West Brom,Derby,1,4,A
QPR,Aston Villa,1,0,H
Birmingham,Sheffield Weds,3,1,H
Bolton,Hull,0,1,A
Bristol City,Stoke,0,1,A
Leeds,Nott'm Forest,1,1,D
Middlesbrough,Derby,1,1,D
Millwall,Ipswich,3,0,H
Norwich,Brentford,1,0,H
Preston,Rotherham,1,1,D
Sheffield United,Wigan,4,2,H
Swansea,Reading,2,0,H
West Brom,Blackburn,1,1,D
Aston Villa,Bolton,2,0,H
Blackburn,QPR,1,0,H
Brentford,Millwall,2,0,H
Derby,Birmingham,3,1,H
Hull,West Brom,1,0,H
Ipswich,Preston,1,1,D
Nott'm Forest,Sheffield United,1,0,H
Reading,Bristol City,3,2,H
Rotherham,Swansea,2,1,H
Sheffield Weds,Norwich,0,4,A
Stoke,Middlesbrough,0,0,D
Wigan,Leeds,1,2,A
Sheffield United,Sheffield Weds,0,0,D
Birmingham,Hull,3,3,D
Blackburn,Rotherham,1,1,D
Bolton,Swansea,0,1,A
Bristol City,Preston,0,1,A
Derby,Aston Villa,0,3,A
Middlesbrough,Wigan,2,0,H
Norwich,Millwall,4,3,H
Nott'm Forest,Stoke,0,0,D
QPR,Brentford,3,2,H
Reading,Ipswich,2,2,D
West Brom,Leeds,4,1,H
Ipswich,West Brom,1,2,A
Brentford,Middlesbrough,1,2,A
Hull,Nott'm Forest,0,2,A
Leeds,Bristol City,2,0,H
Millwall,Bolton,1,1,D
Preston,Blackburn,4,1,H
Rotherham,Sheffield United,2,2,D
Sheffield Weds,Derby,1,2,A
Stoke,QPR,2,2,D
Swansea,Norwich,1,4,A
Wigan,Reading,0,0,D
Aston Villa,Birmingham,4,2,H
Brentford,Sheffield United,2,3,A
Hull,Norwich,0,0,D
Leeds,Reading,1,0,H
Preston,Middlesbrough,1,1,D
Rotherham,QPR,2,2,D
Sheffield Weds,Bolton,1,0,H
Aston Villa,Nott'm Forest,5,5,D
Ipswich,Bristol City,2,3,A
Millwall,Birmingham,0,2,A
Stoke,Derby,2,1,H
Swansea,West Brom,1,2,A
Wigan,Blackburn,3,1,H
Birmingham,Preston,3,0,H
Blackburn,Sheffield Weds,4,2,H
Bolton,Wigan,1,1,D
Derby,Swansea,2,1,H
Middlesbrough,Aston Villa,0,3,A
Norwich,Rotherham,3,1,H
Nott'm Forest,Ipswich,2,0,H
QPR,Hull,2,3,A
Reading,Stoke,2,2,D
Sheffield United,Leeds,0,1,A
Bristol City,Millwall,1,1,D
West Brom,Brentford,1,1,D
West Brom,Aston Villa,2,2,D
Birmingham,Bristol City,0,1,A
Brentford,Swansea,2,3,A
Leeds,QPR,2,1,H
Middlesbrough,Blackburn,1,1,D
Millwall,Hull,2,2,D
Norwich,Bolton,3,2,H
Nott'm Forest,Preston,0,1,A
Reading,Sheffield United,0,2,A
Sheffield Weds,Rotherham,2,2,D
Stoke,Ipswich,2,0,H
Wigan,Derby,0,1,A
Sheffield United,West Brom,1,2,A
Aston Villa,Stoke,2,2,D
Blackburn,Birmingham,2,2,D
Bolton,Leeds,0,1,A
Bristol City,Norwich,2,2,D
Hull,Brentford,2,0,H
Ipswich,Wigan,1,0,H
Preston,Millwall,3,2,H
QPR,Middlesbrough,2,1,H
Rotherham,Reading,1,1,D
Swansea,Sheffield Weds,2,1,H
Derby,Nott'm Forest,0,0,D
Blackburn,Norwich,0,1,A
Brentford,Bolton,1,0,H
Derby,Bristol City,1,1,D
Hull,Swansea,3,2,H
Ipswich,Sheffield United,1,1,D
Nott'm Forest,QPR,0,1,A
Reading,Middlesbrough,0,1,A
Rotherham,West Brom,0,4,A
Sheffield Weds,Preston,1,0,H
Stoke,Millwall,1,0,H
Wigan,Birmingham,0,3,A
Aston Villa,Leeds,2,3,A
Birmingham,Stoke,2,0,H
Bolton,Rotherham,2,1,H
Bristol City,Brentford,1,1,D
Leeds,Blackburn,3,2,H
Middlesbrough,Sheffield Weds,0,1,A
Millwall,Reading,1,0,H
Norwich,Nott'm Forest,3,3,D
Preston,Hull,1,2,A
QPR,Ipswich,3,0,H
Sheffield United,Derby,3,1,H
Swansea,Aston Villa,0,1,A
West Brom,Wigan,2,0,H
Birmingham,Brentford,0,0,D
Bolton,Stoke,0,0,D
Bristol City,Rotherham,1,0,H
Leeds,Hull,0,2,A
Middlesbrough,Ipswich,2,0,H
Millwall,Nott'm Forest,1,0,H
Norwich,Derby,3,4,A
Preston,Aston Villa,1,1,D
QPR,Reading,0,0,D
Sheffield United,Blackburn,3,0,H
Swansea,Wigan,2,2,D
West Brom,Sheffield Weds,1,1,D
Aston Villa,QPR,2,2,D
Blackburn,West Brom,2,1,H
Brentford,Norwich,1,1,D
Derby,Middlesbrough,1,1,D
Hull,Bolton,6,0,H
Ipswich,Millwall,2,3,A
Nott'm Forest,Leeds,4,2,H
Reading,Swansea,1,4,A
Rotherham,Preston,2,1,H
Sheffield Weds,Birmingham,1,1,D
Stoke,Bristol City,0,2,A
Wigan,Sheffield United,0,3,A
Leeds,Derby,2,0,H
Birmingham,Middlesbrough,1,2,A
Brentford,Stoke,3,1,H
Bristol City,Bolton,2,1,H
Hull,Sheffield Weds,3,0,H
Ipswich,Rotherham,1,0,H
Millwall,Blackburn,0,2,A
Preston,Swansea,1,1,D
Reading,Nott'm Forest,2,0,H
Sheffield United,QPR,1,0,H
West Brom,Norwich,1,1,D
Wigan,Aston Villa,3,0,H
Norwich,Birmingham,3,1,H
Aston Villa,Hull,2,2,D
Blackburn,Ipswich,2,0,H
Derby,Reading,2,1,H
Middlesbrough,Millwall,1,1,D
Nott'm Forest,Bristol City,0,1,A
QPR,Preston,1,4,A
Rotherham,Brentford,2,4,A
Sheffield Weds,Wigan,1,0,H
Stoke,Leeds,2,1,H
Swansea,Sheffield United,1,0,H
Bolton,West Brom,0,2,A
Aston Villa,Ipswich,2,1,H
Blackburn,Hull,3,0,H
Norwich,Sheffield United,2,2,D
Nott'm Forest,Wigan,3,1,H
Rotherham,Leeds,1,2,A
Stoke,Preston,0,2,A
Bolton,Reading,1,1,D
Swansea,Birmingham,3,3,D
Preston,Derby,0,0,D
Birmingham,Nott'm Forest,2,0,H
Brentford,Blackburn,5,2,H
Bristol City,Swansea,2,0,H
Hull,Stoke,2,0,H
Ipswich,Sheffield Weds,0,1,A
Leeds,Norwich,1,3,A
Millwall,Rotherham,0,0,D
Reading,Aston Villa,0,0,D
Sheffield United,Bolton,2,0,H
West Brom,Middlesbrough,2,3,A
Wigan,QPR,2,1,H
Aston Villa,Sheffield United,3,3,D
Blackburn,Bristol City,0,1,A
Bolton,Preston,1,2,A
Derby,Hull,2,0,H
Middlesbrough,Leeds,1,1,D
Nott'm Forest,Brentford,2,1,H
QPR,Birmingham,3,4,A
Rotherham,Wigan,1,1,D
Sheffield Weds,Reading,0,0,D
Stoke,West Brom,0,1,A
Swansea,Millwall,1,0,H
Norwich,Ipswich,3,0,H
Birmingham,Bolton,0,1,A
Bristol City,QPR,2,1,H
Hull,Rotherham,2,2,D
Millwall,Sheffield Weds,0,0,D
West Brom,Nott'm Forest,2,2,D
Brentford,Aston Villa,1,0,H
Ipswich,Derby,1,1,D
Leeds,Swansea,2,1,H
Preston,Norwich,3,1,H
Reading,Blackburn,2,1,H
Sheffield United,Middlesbrough,1,0,H
Wigan,Stoke,0,0,D
Aston Villa,West Brom,0,2,A
Bolton,Norwich,0,4,A
Ipswich,Stoke,1,1,D
Preston,Nott'm Forest,0,0,D
Rotherham,Sheffield Weds,2,2,D
Sheffield United,Reading,4,0,H
Blackburn,Middlesbrough,0,1,A
QPR,West Brom,2,3,A
Derby,Millwall,0,1,A
Birmingham,Blackburn,2,2,D
Brentford,Hull,5,1,H
Leeds,Bolton,2,1,H
Middlesbrough,QPR,2,0,H
Millwall,Preston,1,3,A
Norwich,Bristol City,3,2,H
Reading,Rotherham,1,1,D
Sheffield Weds,Swansea,3,1,H
Stoke,Aston Villa,1,1,D
West Brom,Sheffield United,0,1,A
Wigan,Ipswich,1,1,D
Nott'm Forest,Derby,1,0,H
Bristol City,Birmingham,1,2,A
Hull,Millwall,2,1,H
QPR,Leeds,1,0,H
Sheffield Weds,Brentford,2,0,H
Leeds,West Brom,4,0,H
Aston Villa,Derby,4,0,H
Brentford,QPR,3,0,H
Hull,Birmingham,2,0,H
Ipswich,Reading,1,2,A
Millwall,Norwich,1,3,A
Preston,Bristol City,1,1,D
Rotherham,Blackburn,3,2,H
Stoke,Nott'm Forest,2,0,H
Swansea,Bolton,2,0,H
Wigan,Middlesbrough,0,0,D
Sheffield Weds,Sheffield United,0,0,D
Derby,Wigan,2,1,H
Norwich,Swansea,1,0,H
Blackburn,Preston,0,1,A
Bolton,Millwall,2,1,H
Bristol City,Leeds,0,1,A
Derby,Sheffield Weds,1,1,D
Middlesbrough,Brentford,1,2,A
Nott'm Forest,Hull,3,0,H
QPR,Stoke,0,0,D
Reading,Wigan,3,2,H
Sheffield United,Rotherham,2,0,H
West Brom,Ipswich,1,1,D
Birmingham,Aston Villa,0,1,A
Blackburn,Wigan,3,0,H
Bolton,Sheffield Weds,0,2,A
Bristol City,Ipswich,1,1,D
Reading,Leeds,0,3,A
Sheffield United,Brentford,2,0,H
Birmingham,Millwall,0,2,A
Derby,Stoke,0,0,D
Middlesbrough,Preston,1,2,A
Norwich,Hull,3,2,H
Nott'm Forest,Aston Villa,1,3,A
QPR,Rotherham,1,2,A
West Brom,Swansea,3,0,H
Aston Villa,Middlesbrough,3,0,H
Brentford,West Brom,0,1,A
Hull,QPR,2,2,D
Ipswich,Nott'm Forest,1,1,D
Leeds,Sheffield United,0,1,A
Preston,Birmingham,1,0,H
Rotherham,Norwich,1,2,A
Sheffield Weds,Blackburn,4,2,H
Stoke,Reading,0,0,D
Wigan,Bolton,5,2,H
West Brom,Birmingham,3,2,H
Aston Villa,Blackburn,2,1,H
Derby,Rotherham,6,1,H
Ipswich,Hull,0,2,A
Leeds,Millwall,3,2,H
Middlesbrough,Norwich,0,1,A
Nott'm Forest,Swansea,2,1,H
QPR,Bolton,1,2,A
Reading,Preston,2,1,H
Sheffield United,Bristol City,2,3,A
Stoke,Sheffield Weds,0,0,D
Wigan,Brentford,0,0,D
Middlesbrough,Bristol City,0,1,A
Swansea,Brentford,3,0,H
Birmingham,Leeds,1,0,H
Blackburn,Stoke,0,1,A
Bolton,Ipswich,1,2,A
Brentford,Derby,3,3,D
Bristol City,Wigan,2,2,D
Hull,Reading,3,1,H
Millwall,West Brom,2,0,H
Norwich,QPR,4,0,H
Preston,Sheffield United,0,1,A
Rotherham,Nott'm Forest,2,1,H
Sheffield Weds,Aston Villa,1,3,A
Swansea,Middlesbrough,3,1,H
Blackburn,Derby,2,0,H
Bolton,Middlesbrough,0,2,A
Bristol City,West Brom,3,2,H
Preston,Leeds,0,2,A
Sheffield Weds,Nott'm Forest,3,0,H
Swansea,Stoke,3,1,H
Birmingham,Sheffield United,1,1,D
Brentford,Ipswich,2,0,H
Hull,Wigan,2,1,H
Millwall,QPR,0,0,D
Norwich,Reading,2,2,D
